,address,num_bedroom,num_bathroom,price,post_code,latitude,longitude,neighborhood,ptype,size
0,119 Upper Canada Drive,5 bd,5 ba,"2,500,000",M2N2V4,43.756695,-79.40062,St. Andrew-Windfields,house,3500-5000 sqft
1,19 Irvington Crescent,4 bd,6 ba,"2,888,000",M2N2V4,43.763702,-79.390648,St. Andrew-Windfields,house,1100-1500 sqft
2,6 Toba Drive,5 bd,8 ba,"3,980,000",M2N2V4,43.757633,-79.391129,St. Andrew-Windfields,house,3500-5000 sqft
3,50 Dudley Avenue,3 bd,3 ba,"1,750,000",M2N2V4,43.762592,-79.402534,St. Andrew-Windfields,house,
4,122 Yorkminster Road,4 bd,5 ba,"4,239,000",M2N2V4,43.756729,-79.395432,St. Andrew-Windfields,house,
5,115 Anndale Drive,4 bd,5 ba,"2,495,000",M2N2V4,43.7621,-79.399353,St. Andrew-Windfields,house,2500-3000 sqft
6,80 Avondale Avenue,3 bd,2 ba,"1,798,000",M2N2V4,43.759342,-79.405785,St. Andrew-Windfields,house,
7,223 Glendora Avenue,3 bd,3 ba,"1,488,000",M2N2V4,43.762135,-79.395279,St. Andrew-Windfields,house,
8,47 Cotswold Crescent,4 bd,6 ba,"3,385,000",M2N2V4,43.757351,-79.397179,St. Andrew-Windfields,house,3500-5000 sqft
9,23 Normandale Crescent,5 bd,7 ba,"4,350,000",M2N2V4,43.756256,-79.399529,St. Andrew-Windfields,house,
10,31 Lyndale Drive,4 bd,6 ba,"2,780,000",M2N2V4,43.761879,-79.404427,St. Andrew-Windfields,house,3000-3500 sqft
11,33 Cotswold Crescent,5 bd,8 ba,"5,500,000",M2N2V4,43.756443,-79.397095,St. Andrew-Windfields,house,5000 sqft
12,120 Harrison Garden Boulevard,2 bd,2 ba,"599,900",M2N2V4,43.758072,-79.403168,Willowdale East,condo,800-899 sqft
13,2001-28 Harrison Garden Boulevard,2 bd,2 ba,"648,800",M2N2V4,43.756672,-79.408623,Willowdale East,condo,700-799 sqft
14,111-120 Harrison Garden Boulevard,2 bd,2 ba,"658,000",M2N2V4,43.758072,-79.403168,Willowdale East,condo,700-799 sqft
15,1404-120 Harrison Garden Boulevard,1 bd,1 ba,"499,000",M2N2V4,43.758072,-79.403168,Willowdale East,condo,600-699 sqft
16,1924-5 Sheppard Avenue,1 bd,1 ba,"688,800",M2N2V4,43.761459,-79.409805,Willowdale East,condo,600-699 sqft
17,1503-18 Harrison Garden Boulevard,1 bd,1 ba,"449,000",M2N2V4,43.757355,-79.409355,Willowdale East,condo,500-599 sqft
18,3201-23 Sheppard Avenue,2 bd,3 ba,"1,987,800",M2N2V4,43.76123,-79.408867,Willowdale East,condo,2000-2249 sqft
19,Th10-5 Oakburn Crescent,3 bd,3 ba,"1,099,000",M2N2V4,43.758121,-79.405273,Willowdale East,condo,1400-1599 sqft
20,4721-5 Sheppard Avenue,2 bd,3 ba,"1,695,000",M2N2V4,43.761459,-79.409805,Willowdale East,condo,1400-1599 sqft
