,school_name,school_city,school_score,school_post_code,address
0,Al-Risala,Mississauga,10,L4Y4A2,1224 Dundas Street E
1,Avondale Alternative,Toronto,10,M2N2V4,171 Avondale Ave
2,Havergal,Toronto,10,M5N2H9,1451 Avenue Rd
3,IQRA Islamic,Mississauga,10,L4Z1R9,5751 Coopers Ave
4,Islamic Foundation,Ajax,10,1T7,2944 Audley Road N.
5,Islamic Institute of Toronto,Toronto,10,M1X1S3,1630 NEILSON RD
6,Islamic School of Cambridge,Cambridge,10,N1R8J5,1550 Dunbar Rd
7,Khalsa Community,Brampton,10,L6S3B5,69 Maitland Street
8,Khalsa School Malton,Mississauga,10,L4T2H3,7280 Airport Rd.
9,Laggan,Dalkeith,10,K0B1E0,20345 Laggan-Glenelg Road
10,Northmount,Toronto,10,M3B1S3,26 Mallard Rd
11,Safa & Marwa,Mississauga,10,L4Z1P1,5550 Mcadam Road
12,Sathya Sai,Toronto,10,M1R4E5,505 Ellesmere Rd  4
13,St Justin Martyr,Unionville,10,L3R8K4,140 Hollingham Rd
14,St Mildred's-Lightbourn,Oakville,10,L6J2L1,1080 Linbrook Rd
15,St Sebastian,Toronto,10,M6H3P1,717 Brock Ave
16,Islamic School of Hamilton,Hamilton,9.9,L8W3P8,1545 Stone Church Rd E
17,Silver Stream,Richmond Hill,9.9,L4S2K9,180 Farmstead Rd
18,Sainte-Marguerite-Bourgeoys,Markham,9.8,L3R9C1,111 boulevard John Button
19,St Benedict,Unionville,9.8,L3R7E4,50 Aldergrove Dr
20,Convent Glen,Orléans,9.7,K1C2M4,6212 Jeanne d'Arc Blvd
21,Donald Cousens,Markham,9.7,L6E1T5,315 Mingay Avenue
22,Nile Academy,Toronto,9.6,M9M1W5,5 Blue Haven Crescent
23,Olive Grove,Mississauga,9.6,L5K1B4,2300 Speakman Dr
24,Al-Ameen,Brampton,9.5,L6X3P1,389 Main Street North
25,Errol Village,Camlachie,9.5,N0N1E0,3568 Egremont Road
26,Fleming,Toronto,9.5,M1B5B5,20 Littles Rd
27,Guru Tegh Bahadur,Brampton,9.5,1Y4,180 Sandalwood Parkway East
28,Lyn-Tincap,Lyn,9.5,K0E1M0,38 Main Street East 184
29,Stonebridge,Markham,9.5,L6C2Z8,168 Stonebridge Dr
30,Whitney,Toronto,9.5,M4T1C7,119 Rosedale Heights Dr
31,St Rose of Lima,Mississauga,9.4,L5M3A9,4590 The Gallops
32,Wali ul Asr,Brampton,9.4,0A1,7580 Kennedy Road
33,Clara Hughes,Oshawa,9.3,L1H6T9,250 Harmony Rd. S.
34,Denlow,Toronto,9.3,M3B1P7,50 Denlow Blvd
35,Fallingbrook,Whitby,9.3,L1R2G2,155 Fallingbrook St
36,Humber Valley Village,Toronto,9.3,M9A3E1,65 Hartfield Rd
37,ISNA Islamic,Mississauga,9.3,L4X1C5,1525 Sherway Dr
38,John Ross Robertson,Toronto,9.3,M4R1P2,130 Glengrove Ave W
39,John XXIII,Arnprior,9.3,K7S1B9,75 Edey St
40,Masonville,London,9.3,N6G3A7,25 Hillview Blvd
41,St Raphaels,Burlington,9.3,L7L1S9,4056 New St
42,Beverly Glen,Toronto,9.2,M1W1W4,85 Beverly Glen Blvd
43,Islamic Foundation,Toronto,9.2,M1S5E1,441 Nugget Ave
44,St Ann,St Catharines,9.2,L2N4W1,218 Main St
