,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,M2N2V4,43.759908499999995,-79.39661933333333,Maryam Hotel,43.766961,-79.401199,Hotel
1,M2N2V4,43.759908499999995,-79.39661933333333,Rain Spa & Salon,43.76586691683565,-79.39241108755428,Spa
2,M2N2V4,43.759908499999995,-79.39661933333333,Wimpy's Diner,43.76397143768718,-79.39886788029243,Diner
3,M2N2V4,43.759908499999995,-79.39661933333333,Rexall,43.76462102032288,-79.39771789139915,Pharmacy
4,M2N2V4,43.759908499999995,-79.39661933333333,Moksha Yoga North York,43.763205937328344,-79.40493038337398,Yoga Studio
5,M2N2V4,43.759908499999995,-79.39661933333333,Tim Hortons,43.7637585240433,-79.3993648141623,Coffee Shop
6,M2N2V4,43.759908499999995,-79.39661933333333,The Beer Store,43.763872,-79.4002511,Beer Store
7,M2N2V4,43.759908499999995,-79.39661933333333,Avondale Park,43.75705291615521,-79.40812730761971,Dog Run
8,M2N2V4,43.759908499999995,-79.39661933333333,TD Canada Trust,43.7648512,-79.3969302,Bank
9,M2N2V4,43.759908499999995,-79.39661933333333,Paisano's,43.764517781816416,-79.39989823947919,Italian Restaurant
10,M2N2V4,43.759908499999995,-79.39661933333333,Inakaya,43.765116314683894,-79.40013276871568,Japanese Restaurant
11,M2N2V4,43.759908499999995,-79.39661933333333,Subway,43.76478354727713,-79.39598312568368,Sandwich Place
12,M2N2V4,43.759908499999995,-79.39661933333333,Popeyes Louisiana Kitchen,43.764567151540966,-79.39631816825266,Fried Chicken Joint
13,M2N2V4,43.759908499999995,-79.39661933333333,Ava Food Market,43.76414532190037,-79.39929965307797,Middle Eastern Restaurant
14,M2N2V4,43.759908499999995,-79.39661933333333,Tim Hortons,43.763265276008866,-79.40530187567225,Coffee Shop
15,M2N2V4,43.759908499999995,-79.39661933333333,Pizza Pizza,43.766136,-79.394448,Pizza Place
16,M2N2V4,43.759908499999995,-79.39661933333333,Pizza pizza,43.76362340592594,-79.39997102456788,Pizza Place
17,M2N2V4,43.759908499999995,-79.39661933333333,Splendid Nails,43.763941836310444,-79.39871069749577,Spa
18,M2N2V4,43.759908499999995,-79.39661933333333,Siloam Sushi House,43.76394545090595,-79.39914499309556,Sushi Restaurant
19,M2N2V4,43.759908499999995,-79.39661933333333,Coffee Time,43.7639002546235,-79.39930991494059,Coffee Shop
20,M2N2V4,43.759908499999995,-79.39661933333333,Global Pet Foods,43.764331783397424,-79.39902405022217,Pet Store
21,M2N2V4,43.759908499999995,-79.39661933333333,Tim Hortons,43.76608782422846,-79.38880294561386,Coffee Shop
22,M2N2V4,43.759908499999995,-79.39661933333333,Timothy's Cafe,43.766565,-79.392905,Coffee Shop
23,M2N2V4,43.759908499999995,-79.39661933333333,Hwy 401 at Bayview,43.76321420048986,-79.38710510730743,Intersection
24,M2N2V4,43.759908499999995,-79.39661933333333,St. Andrews Park,43.757308812135385,-79.38661557017805,Park
